Participant	Stimulus	StimType	StimNum	PostV	PostA	PreV	PreA	t	dt	p
P55	Neg4	Neg	4	6	5	12	4	374.024	124.28	1
P55	Neu1	Neu	1	8	4	6	5	474.872	100.848	1
P55	Pos4	Pos	4	10	5	8	4	598.816	123.944	1
P55	Neg1	Neg	1	6	5	10	5	713.612	114.796	1
P55	Neg5	Neg	5	6	4	6	5	821.352	107.74	1
P55	Pos2	Pos	2	10	3	6	4	928.916	107.564	1
P56	Pos4	Pos	4	13	5	11	4	125.288	125.288	1
P56	Pos2	Pos	2	12	5	13	5	193.364	68.076	1
P56	Neg4	Neg	4	6	5	12	5	318.444	125.08	1
P56	Neg5	Neg	5	2	6	6	5	419.484	101.04	1
P56	Neg1	Neg	1	4	5	2	6	535.8	116.316	1
P56	Pos3	Pos	3	13	5	4	5	652.34	116.54	1
P56	Neu1	Neu	1	8	4	13	5	714.32	61.98	1
P58	Neg4	Neg	4	2	4	12	6	183.94	183.94	4
P58	Pos2	Pos	2	11	4	2	4	362.252	178.312	1
P58	Neg1	Neg	1	2	4	11	4	521.336	159.084	1
P58	Pos4	Pos	4	13	4	2	4	656.508	135.172	1
P58	Neu1	Neu	1	10	2	13	4	816.792	160.284	1
P58	Neg5	Neg	5	2	4	10	2	976.052	159.26	1
P58	Pos3	Pos	3	12	5	2	4	1193.452	217.4	4
P59	Neu1	Neu	1	7	4	8	3	198.256	198.256	1
P59	Neg4	Neg	4	3	5	7	4	398.784	200.528	4
P59	Pos2	Pos	2	8	3	3	5	573.032	174.248	1
P59	Pos4	Pos	4	10	3	8	3	714.524	141.492	1
P59	Neg1	Neg	1	2	6	10	3	905.904	191.38	5
P59	Pos3	Pos	3	8	4	2	6	1147.508	241.604	1
P59	Neg5	Neg	5	2	5	8	4	1322.876	175.368	1
