Participant	Stimulus	PostV	PostA	Part	Cont	Inte	Relv
71	Ne1	4	5	6	6	6	5
71	Ne2	-2	3	1	1	2	1
71	Ne3	0	2	1	1	1	1
71	Ne5	-2	3	1	1	2	1
72	Nt2	2	5	5	6	6	4
72	Po4	6	2	4	6	6	1
72	Po5	4	3	1	2	5	2
72	Po6	2	3	2	2	6	2
72	Po7	4	5	1	3	5	3
72	Po8	6	4	5	6	6	4
72	Ne1	-6	4	1	1	5	1
72	Ne2	-4	5	1	1	2	1
72	Ne3	-6	3	4	2	5	4
72	Ne5	-6	4	5	1	5	2
73	Nt2	0	4	2	2	2	2
73	Po4	3	5	1	3	5	2
73	Po5	2	4	2	2	2	2
73	Po6	0	4	3	2	5	2
73	Po7	4	4	3	5	6	2
73	Po8	1	4	5	3	4	3
73	Ne1	0	6	6	6	5	4
73	Ne2	-3	4	2	2	2	3
73	Ne3	0	4	2	2	2	2
73	Ne5	-6	3	6	2	5	2
